product_id,category,name,description
P001,Label,Forklift Safety Label,"Durable adhesive label indicating forklift safety zones and operator rules"
P002,Label,Warning Label High Voltage,"Bright yellow label warning of high-voltage equipment"
P003,Label,No Smoking Sign,"PVC-based sign to indicate no smoking zones in warehouses"
P004,Label,Emergency Exit Sign,"Glow-in-dark emergency exit sign with directional arrows"
P005,Label,Fire Extinguisher Label,"Sticker for identifying fire extinguisher placement"
P006,Sign,Warehouse Traffic Sign,"Metal sign showing warehouse traffic directions"
P007,Sign,Speed Limit Sign,"Reflective sign indicating max warehouse vehicle speed"
P008,Sign,Pedestrian Crossing Sign,"Indicates pedestrian crossing areas inside facilities"
P009,Label,Load Capacity Label,"Machine-readable label showing forklift load capacity"
P010,Label,Maintenance Instruction Label,"Sticker with routine forklift maintenance instructions"
P011,Sign,First Aid Sign,"Green sign indicating first aid kit location"
P012,Label,Fuel Type Label,"Adhesive label indicating fuel type (diesel, LPG, electric)"
P013,Label,Battery Charging Station Label,"Warning label for forklift battery charging zones"
P014,Sign,Hazardous Material Sign,"Sign indicating hazardous material storage area"
P015,Sign,Helmet Zone Sign,"Safety sign mandating helmet usage in a zone"
P016,Label,Oil Change Reminder Label,"Sticker to remind periodic oil changes on forklifts"
P017,Label,Spare Parts Identification Label,"Barcode label for tracking forklift spare parts"
P018,Sign,Restricted Area Sign,"Indicates restricted zone, access only for authorized personnel"
P019,Sign,Parking Zone Sign,"Marking for forklift parking areas"
P020,Label,Temperature Warning Label,"Label warning about high temperature parts in machinery"
